morphid,before_verb_count,after_verb_count,both
n6s,13,3,1
n6p,6,3,0
 m3p,1,0,0
m2p,33,6,1
n4s,2,1,0
n2d,1,0,0
x7p,3,0,0
n2s,282,43,9
n7p,9,3,0
n2p,25,3,0
m6p,54,12,3
x3s,15,14,0
x3p,5,3,0
m6s,128,29,7
f5s,1,0,0
f5p,2,0,0
x5s,2,0,0
m4s,13,5,0
m4p,2,0,1
x1d,1,0,0
x7s,0,1,0
f1d,3,0,0
m2s,285,45,10
f3p,3,0,1
f3s,37,6,2
m6d,10,3,0
x1p,10,2,0
f1s,125,24,7
f1p,22,4,0
x1s,59,14,0
fvs,10,2,0
f7s,24,4,1
n1s,273,61,30
n1p,12,2,1
mVs,0,1,0
nvs,2,1,0
m1d,12,3,0
n7s,106,19,4
m7d,2,0,0
n5s,48,16,1
n5p,1,0,0
n7d,1,0,0
m2d,11,6,0
m1s,515,104,55
m7p,21,4,0
iic,712,124,105
n3p,17,4,1
n3s,53,18,2
m7s,78,27,4
f4s,0,2,0
mvs,58,15,0
x4s,5,3,0
m5p,3,1,0
m5s,45,9,1
f2d,1,0,0
i,983,96,234
f7p,8,4,0
x6s,54,22,1
x4p,0,1,0
m3s,82,25,1
m1p,104,20,25
m3p,47,14,4
f2s,95,14,3
m5d,1,0,0
f2p,6,1,0
f4d,1,0,0
x6p,5,2,0
m3d,6,0,0
f6s,13,3,0
x2p,0,1,0
x2s,36,8,0
f6p,1,2,0
