SL,Desc,UH
m1s,masculine nominative singular,{puM}{1;eka}
m1d,masculine nominative dual,{puM}{1;dvi}
m1p,masculine nominative plural,{puM}{1;bahu}
mvs,masculine vocative singular,{puM}{8;eka}
mvd,masculine vocative dual,{puM}{8;dvi}
mvp,masculine vocative plural,{puM}{8;bahu}
m2s,masculine accusative singular,{puM}{2;eka}
m2d,masculine accusative dual,{puM}{2;dvi}
m2p,masculine accusative plural,{puM}{2;bahu}
m3s,masculine instrumental singular,{puM}{3;eka}
m3d,masculine instrumental dual,{puM}{3;dvi}
m3p,masculine instrumental plural,{puM}{3;bahu}
m4s,masculine dative singular,{puM}{4;eka}
m4d,masculine dative dual,{puM}{4;dvi}
m4p,masculine dative plural,{puM}{4;bahu}
m5s,masculine ablative singular,{puM}{5;eka}
m5d,masculine ablative dual,{puM}{5;dvi}
m5p,masculine ablative plural,{puM}{5;bahu}
m6s,masculine genitive singular,{puM}{6;eka}
m6d,masculine genitive dual,{puM}{6;dvi}
m6p,masculine genitive plural,{puM}{6;bahu}
m7s,masculine locative singular,{puM}{7;eka}
m7d,masculine locative dual,{puM}{7;dvi}
m7p,masculine locative plural,{puM}{7;bahu}
f1s,feminine nominative singular,{strI}{1;eka}
f1d,feminine nominative dual,{strI}{1;dvi}
f1p,feminine nominative plural,{strI}{1;bahu}
fvs,feminine vocative singular,{strI}{8;eka}
fvd,feminine vocative dual,{strI}{8;dvi}
fvp,feminine vocative plural,{strI}{8;bahu}
f2s,feminine accusative singular,{strI}{2;eka}
f2d,feminine accusative dual,{strI}{2;dvi}
f2p,feminine accusative plural,{strI}{2;bahu}
f3s,feminine instrumental singular,{strI}{3;eka}
f3d,feminine instrumental dual,{strI}{3;dvi}
f3p,feminine instrumental plural,{strI}{3;bahu}
f4s,feminine dative singular,{strI}{4;eka}
f4d,feminine dative dual,{strI}{4;dvi}
f4p,feminine dative plural,{strI}{4;bahu}
f5s,feminine ablative singular,{strI}{5;eka}
f5d,feminine ablative dual,{strI}{5;dvi}
f5p,feminine ablative plural,{strI}{5;bahu}
f6s,feminine genitive singular,{strI}{6;eka}
f6d,feminine genitive dual,{strI}{6;dvi}
f6p,feminine genitive plural,{strI}{6;bahu}
f7s,feminine locative singular,{strI}{7;eka}
f7d,feminine locative dual,{strI}{7;dvi}
f7p,feminine locative plural,{strI}{7;bahu}
n1s,neuter nominative singular,{napuM}{1;eka}
n1d,neuter nominative dual,{napuM}{1;dvi}
n1p,neuter nominative plural,{napuM}{1;bahu}
nvs,neuter vocative singular,{napuM}{8;eka}
nvd,neuter vocative dual,{napuM}{8;dvi}
nvp,neuter vocative plural,{napuM}{8;bahu}
n2s,neuter accusative singular,{napuM}{2;eka}
n2d,neuter accusative dual,{napuM}{2;dvi}
n2p,neuter accusative plural,{napuM}{2;bahu}
n3s,neuter instrumental singular,{napuM}{3;eka}
n3d,neuter instrumental dual,{napuM}{3;dvi}
n3p,neuter instrumental plural,{napuM}{3;bahu}
n4s,neuter dative singular,{napuM}{4;eka}
n4d,neuter dative dual,{napuM}{4;dvi}
n4p,neuter dative plural,{napuM}{4;bahu}
n5s,neuter ablative singular,{napuM}{5;eka}
n5d,neuter ablative dual,{napuM}{5;dvi}
n5p,neuter ablative plural,{napuM}{5;bahu}
n6s,neuter genitive singular,{napuM}{6;eka}
n6d,neuter genitive dual,{napuM}{6;dvi}
n6p,neuter genitive plural,{napuM}{6;bahu}
n7s,neuter locative singular,{napuM}{7;eka}
n7d,neuter locative dual,{napuM}{7;dvi}
n7p,neuter locative plural,{napuM}{7;bahu}
