SL,Desc,UH
pre[1] a1s,*present-indicative class1 active first-person singular,{kartari;law;u;eka;parasmEpadI;BvAdi;#;}
pre[1] a1d,*present-indicative class1 active first-person dual,{kartari;law;u;dvi;parasmEpadI;BvAdi;#;}
pre[1] a1p,*present-indicative class1 active first-person plural,{kartari;law;u;bahu;parasmEpadI;BvAdi;#;}
pre[1] a2s,*present-indicative class1 active second-person singular,{kartari;law;ma;eka;parasmEpadI;BvAdi;#;}
pre[1] a2d,*present-indicative class1 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;BvAdi;#;}
pre[1] a2p,*present-indicative class1 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;BvAdi;#;}
pre[1] a3s,*present-indicative class1 active third-person singular,{kartari;law;pra;eka;parasmEpadI;BvAdi;#;}
pre[1] a3d,*present-indicative class1 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;BvAdi;#;}
pre[1] a3p,*present-indicative class1 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;BvAdi;#;}
pre[1] m1s,*present-indicative class1 middle first-person singular,{kartari;law;u;eka;AtmanepadI;BvAdi;#;}
pre[1] m1d,*present-indicative class1 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;BvAdi;#;}
pre[1] m1p,*present-indicative class1 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;BvAdi;#;}
pre[1] m2s,*present-indicative class1 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;BvAdi;#;}
pre[1] m2d,*present-indicative class1 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;BvAdi;#;}
pre[1] m2p,*present-indicative class1 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;BvAdi;#;}
pre[1] m3s,*present-indicative class1 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;BvAdi;#;}
pre[1] m3d,*present-indicative class1 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;BvAdi;#;}
pre[1] m3p,*present-indicative class1 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;BvAdi;#;}
pre[2] a1s,*present-indicative class2 active first-person singular,{kartari;law;u;eka;parasmEpadI;adAdi;#;}
pre[2] a1d,*present-indicative class2 active first-person dual,{kartari;law;u;dvi;parasmEpadI;adAdi;#;}
pre[2] a1p,*present-indicative class2 active first-person plural,{kartari;law;u;bahu;parasmEpadI;adAdi;#;}
pre[2] a2s,*present-indicative class2 active second-person singular,{kartari;law;ma;eka;parasmEpadI;adAdi;#;}
pre[2] a2d,*present-indicative class2 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;adAdi;#;}
pre[2] a2p,*present-indicative class2 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;adAdi;#;}
pre[2] a3s,*present-indicative class2 active third-person singular,{kartari;law;pra;eka;parasmEpadI;adAdi;#;}
pre[2] a3d,*present-indicative class2 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;adAdi;#;}
pre[2] a3p,*present-indicative class2 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;adAdi;#;}
pre[2] m1s,*present-indicative class2 middle first-person singular,{kartari;law;u;eka;AtmanepadI;adAdi;#;}
pre[2] m1d,*present-indicative class2 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;adAdi;#;}
pre[2] m1p,*present-indicative class2 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;adAdi;#;}
pre[2] m2s,*present-indicative class2 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;adAdi;#;}
pre[2] m2d,*present-indicative class2 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;adAdi;#;}
pre[2] m2p,*present-indicative class2 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;adAdi;#;}
pre[2] m3s,*present-indicative class2 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;adAdi;#;}
pre[2] m3d,*present-indicative class2 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;adAdi;#;}
pre[2] m3p,*present-indicative class2 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;adAdi;#;}
pre[3] a1s,*present-indicative class3 active first-person singular,{kartari;law;u;eka;parasmEpadI;juhotyAdi;#;}
pre[3] a1d,*present-indicative class3 active first-person dual,{kartari;law;u;dvi;parasmEpadI;juhotyAdi;#;}
pre[3] a1p,*present-indicative class3 active first-person plural,{kartari;law;u;bahu;parasmEpadI;juhotyAdi;#;}
pre[3] a2s,*present-indicative class3 active second-person singular,{kartari;law;ma;eka;parasmEpadI;juhotyAdi;#;}
pre[3] a2d,*present-indicative class3 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;juhotyAdi;#;}
pre[3] a2p,*present-indicative class3 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;juhotyAdi;#;}
pre[3] a3s,*present-indicative class3 active third-person singular,{kartari;law;pra;eka;parasmEpadI;juhotyAdi;#;}
pre[3] a3d,*present-indicative class3 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;juhotyAdi;#;}
pre[3] a3p,*present-indicative class3 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;juhotyAdi;#;}
pre[3] m1s,*present-indicative class3 middle first-person singular,{kartari;law;u;eka;AtmanepadI;juhotyAdi;#;}
pre[3] m1d,*present-indicative class3 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;juhotyAdi;#;}
pre[3] m1p,*present-indicative class3 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;juhotyAdi;#;}
pre[3] m2s,*present-indicative class3 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;juhotyAdi;#;}
pre[3] m2d,*present-indicative class3 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;juhotyAdi;#;}
pre[3] m2p,*present-indicative class3 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;juhotyAdi;#;}
pre[3] m3s,*present-indicative class3 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;juhotyAdi;#;}
pre[3] m3d,*present-indicative class3 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;juhotyAdi;#;}
pre[3] m3p,*present-indicative class3 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;juhotyAdi;#;}
pre[4] a1s,*present-indicative class4 active first-person singular,{kartari;law;u;eka;parasmEpadI;divAdi;#;}
pre[4] a1d,*present-indicative class4 active first-person dual,{kartari;law;u;dvi;parasmEpadI;divAdi;#;}
pre[4] a1p,*present-indicative class4 active first-person plural,{kartari;law;u;bahu;parasmEpadI;divAdi;#;}
pre[4] a2s,*present-indicative class4 active second-person singular,{kartari;law;ma;eka;parasmEpadI;divAdi;#;}
pre[4] a2d,*present-indicative class4 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;divAdi;#;}
pre[4] a2p,*present-indicative class4 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;divAdi;#;}
pre[4] a3s,*present-indicative class4 active third-person singular,{kartari;law;pra;eka;parasmEpadI;divAdi;#;}
pre[4] a3d,*present-indicative class4 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;divAdi;#;}
pre[4] a3p,*present-indicative class4 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;divAdi;#;}
pre[4] m1s,*present-indicative class4 middle first-person singular,{kartari;law;u;eka;AtmanepadI;divAdi;#;}
pre[4] m1d,*present-indicative class4 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;divAdi;#;}
pre[4] m1p,*present-indicative class4 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;divAdi;#;}
pre[4] m2s,*present-indicative class4 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;divAdi;#;}
pre[4] m2d,*present-indicative class4 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;divAdi;#;}
