file_name,word_order,padanum,headword,stem,morphids,lexids,root,comment,selected
mbh12_26165.xml,0,1,etat,eza,n1s,,,,y
mbh12_26165.xml,1,2,ca,ca,i,,,,y
mbh12_26165.xml,2,3,te,tvad,x6s,,,,y
mbh12_26165.xml,3,4,toyam,toya,n1s,,,,y
mbh12_26165.xml,4,10,vaqavAmuKa,vaqavAmuKa,iic,"pn, ctp6",,,
mbh12_26165.xml,5,13,saYjYitena,saYjYita,m3s,ctp3,,,
mbh12_26165.xml,6,18,pIyamAnam,pIyamAna,n1s,adj ppr. ps.,pA_1,,
mbh12_26165.xml,7,19,maDuram,maDura,n1s,,,,y
mbh12_26165.xml,8,20,Bavizyati,BU_1,fut a3s,,,,y
mbh03_14648.xml,0,1,etat,etad,n2s,,,,
mbh03_14648.xml,1,2,SrutvA,SrutvA,i,abs,Sru,,
mbh03_14648.xml,2,3,sa,tad,m1s,,,,y
mbh03_14648.xml,3,7,kacCapaH,kacCapa,m1s,,,,
mbh03_14648.xml,4,8,tasmAt,tad,n5s,,,,y
mbh03_14648.xml,5,9,sarasaH,saras,n5s,,,,y
mbh03_14648.xml,6,16,ut,ud,iic,preverb,,,
mbh03_14648.xml,7,17,TAya,TAya,i,abs,sTA_1,,
mbh03_14648.xml,8,19,aBi,aBi,i,preverb,,,
mbh03_14648.xml,9,23,agacCat,gam,ipf[1] a3s,,,,y
mbh03_14648.xml,10,26,yatra,yatra,i,,,,y
mbh03_14648.xml,11,27,tizWAmaH,sTA_1,pre[1] a1p,,,,y
mbh03_14648.xml,12,30,vayam,asmad,x1p,,,,
mbh03_14648.xml,13,31,tasya,tad,n6s,,,,y
mbh03_14648.xml,14,32,sarasaH,saras,n6s,,,,y
mbh03_14648.xml,15,37,tIre,tIra,n7s,,,,y
mbh03_14603.xml,0,1,rAja,rAjan,iic,,,,y
mbh03_14603.xml,1,2,putrI,putrI,f1s,ctp6,,,
mbh03_14603.xml,2,6,uvAca,vac,prf a3s,,,,y
mbh12_26044.xml,0,1,tAn,tad,m2p,,,,y
mbh12_26044.xml,1,2,brahma,brahman,m1s,pn,,,
mbh12_26044.xml,2,,uvAca,vac,prf a3s,,,,
mbh12_26044.xml,3,,fziH,fzi,m1s,adj,,,
mbh12_26044.xml,4,3,BArgavaH,BArgava,m1s,adj,,,
mbh12_26044.xml,5,4,tapaH,tapas_1,n2s,,,,
mbh12_26044.xml,6,5,tapyate,tap,pre[4] m3s,,,,
mbh12_26044.xml,7,7,daDIcaH,daDIca,m1s,pn,,,
mbh03_14642.xml,0,1,sa,tad,m1s,,,,y
mbh03_14642.xml,1,2,naH,asmad,x2p,,,,
mbh03_14642.xml,2,3,abravIt,brU,ipf[2] a3s,,,,y
mbh03_14642.xml,3,4,asti,as_1,pre[2] a3s,,,,y
mbh03_14642.xml,4,5,Kalu,Kalu,i,,,,
mbh03_14642.xml,5,7,iha,iha,i,,,,y
